,Rank,Title,Start Year,End Year,Rating,Duration,Votes,Genre,Certificate,Primary Genre
0,1,Call Me Kevin,2016,,9.8,,1790,Comedy,,Comedy
1,2,Minecraft Epic,2019,,9.6,,3968,"Action, Adventure, Comedy",TV-MA,Action
2,3,Coke Studio,2008,,9.6,60 ,1244,Music,Approved,Music
3,4,Breaking Bad,2008,2013,9.5,49 ,1921674,"Crime, Drama, Thriller",TV-MA,Crime
4,5,Bluey,2018,,9.5,7 ,12884,"Animation, Family",TV-Y,Animation
5,6,The Last Drive-In with Joe Bob Briggs,2018,,9.5,125 ,1574,"Comedy, Fantasy, Horror",Not Rated,Comedy
6,7,Unus Annus,2019,2020,9.5,,1200,"Comedy, Reality-TV",TV-14,Comedy
7,8,Alpha Bravo Charlie,1998,,9.5,40 ,1793,Action,,Action
8,9,Best of the Worst,2013,,9.4,,3507,"Comedy, Talk-Show",,Comedy
9,10,Formula 1,1950,,9.4,,3206,Sport,Not Rated,Sport
10,11,The Chosen,2017,,9.3,54 ,32664,"Drama, History",TV-PG,Drama
11,12,The Wire,2002,2008,9.3,59 ,345004,"Crime, Drama, Thriller",TV-MA,Crime
12,13,Avatar: The Last Airbender,2005,2008,9.3,23 ,322041,"Animation, Action, Adventure",TV-Y7-FV,Animation
13,14,The Joy of Painting,1983,1994,9.3,30 ,5599,"Documentary, Family",TV-G,Documentary
14,15,Scott the Woz,2017,,9.3,,1321,"Comedy, History",TV-14,Comedy
15,16,Half in the Bag,2011,,9.3,40 ,4935,"Comedy, Talk-Show",Unrated,Comedy
16,17,The Kill Count,2017,,9.3,22 ,1131,"Comedy, Horror",Unrated,Comedy
17,18,Screen Rant Pitch Meetings,2017,,9.3,,1220,Comedy,TV-PG,Comedy
18,19,1pm Daily Update,2020,,9.3,,1802,News,,News
19,20,The Last of Us,2023,,9.2,50 ,195752,"Action, Adventure, Drama",TV-MA,Action
20,21,Game of Thrones,2011,2019,9.2,57 ,2124846,"Action, Adventure, Drama",TV-MA,Action
21,22,The Sopranos,1999,2007,9.2,55 ,409476,"Crime, Drama",TV-MA,Crime
22,23,Critical Role,2015,,9.2,180 ,11101,"Adventure, Fantasy",TV-14,Adventure
23,24,The World at War,1973,1974,9.2,52 ,26350,"Documentary, History, War",TV-PG,Documentary
24,25,Dragon Ball Z Abridged,2008,2018,9.2,10 ,1117,"Animation, Action, Comedy",TV-14,Animation
25,26,The Filthy Frank Show,2011,2017,9.2,12 ,33100,"Short, Comedy",TV-MA,Short
